duration,zero_crossing_rate,spectral_centroid,rmse,grammar_score_model,original_text,corrected_text,num_words,avg_word_len,text_length,filename,label
60.0746875,0.2866518199443817,0.24890242516994476,0.03288814052939415,1.0," I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. My favorite hobby is cultivation of plants, such as gardening, offers you a rewending the experience with a gardening. I can gain immense of plants to plant and the flowers and herbs to unwaistables.",I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it on the top of the head. I'm going to put it,188,3.3404255319148937,816,audio_1261.wav,1.0
60.0746875,0.21127057075500488,1.5907914638519287,0.08235961198806763,0.09302325581395354," The playground looks like very clear and neat as there are a lot of colorful things like a basket ball, coat. For playing or we can do zin, zing on swings. Group of friends together play very well and they laugh each other.","The playground looks very clear and neat as there are a lot of colorful things like a basket ball, coat, for playing or we can do zin, zing on swings. Groups of friends play very well and they laugh at each other.",43,4.209302325581396,224,audio_942.wav,1.5
60.0746875,0.26535120606422424,0.49571260809898376,0.0459885336458683,1.0, My goal is to become an electrical employee and also I am studying the electronics engineering to become an electrical engineer how to study about electrical and to achieve my goal is to have about the electronics and we have prepared the topics thoroughly to reach the goals.,My goal is to become an electrical employee and also I am studying the electronics engineering to become an electrical engineer how to study about electrical and to achieve my goal is to have about the electronics and we have prepared the topics thoroughly to reach the goals.,48,4.770833333333333,277,audio_1110.wav,1.5
60.0746875,0.18991795182228088,1.0818722248077393,0.06796587258577347,0.9076923076923077," My favorite place is in Andhra Pradesh. It is in Chetodistic. It is the temple of Lord Ventechwara Swami. It has seven hills to visit the temple. It is a good place to receive the Tirumala. For India here, crowds of people to visit the Lord Ventechwara Swami, in Tirumala, have a lot of places to visit the tourist. In Tirumala, Ladwizha is the famous.","My favorite place is in Andhra Pradesh. It is in Chetodistic. It is the temple of Lord Ventechwara Swami. It has seven hills to visit the temple. It is a good place to visit the Tirumala. For India, crowds of people visit",65,4.430769230769231,353,audio_1024.wav,1.5
60.0746875,0.2739166021347046,1.0223885774612427,0.0659966915845871,1.0," My favorite places, my favorite places, Mutti and Pradha. My experience is very good. I travel to the Mutti and Pradha through offers with my family and friends. I enjoy a lot in the Mutti and Pradha. I have a local food in the Mutti and Pradha in the hot chocolate, which is very sweeter than the honey. I experience it with very good many times. Yeah, there is a particular time of day or season when this place is magical, in the month of January February. Or December also we have a very big number of games during the high times in the Mutti. It is a very beautiful place one can visit.","My favorite places, my favorite places, Mutti and Pradha. My experience is very good. I travel to the Mutti and Pradha through offers with my family and friends. I enjoy a lot in the Mutti and Pradha. I have a local food in the Mutti and",114,4.192982456140351,592,audio_538.wav,2.0
60.0746875,0.220767080783844,1.3428176641464233,0.07567841559648514,0.6785714285714286," Best day in life is ending money. For everyone, its money is most important. So ending ourselves is a thing when we start earning. So actually to earn money, you have to know some skills. Even if we need money or to earn money, we must complete our graduation or studies or need some skills. But if we earn money while we are education, like even in school times. So it will be more best day for a any student. So I earn some money using referral apps. It makes a day which will be happy to everyone. Like me also, it's the best day. And when I think about the day, so it will be best than others because when we earn money on ourselves and to purchase something which we need. So that the day is best day.","Best day in life is ending money. For everyone, money is most important. So ending ourselves is a thing when we start earning. So actually to earn money, you have to know some skills. Even if we need money or to earn money, we must complete our graduation or studies or need some skills",140,4.05,707,audio_350.wav,2.5
60.0746875,0.28045326471328735,0.8005076050758362,0.058454956859350204,0.9897959183673469," Yeah, I have a soy crowded market. There are different types of people out there. It's very crowded with a large number of people. On one side, there are some people who are selling vegetables, some people are selling fruits, and some are selling other essential products that are required for the humans. And when I hear here's about the market, it's a fascinating thing that there will be a large number of the people. And from morning to evening, people work hard there to fed up themselves for their feed and all. And it's very... that's it.","Yeah, I have a very crowded market. There are different types of people out there. It's very crowded with a large number of people. On one side, there are some people who are selling vegetables, some people are selling fruits, and some are selling other essential products that are required",98,4.571428571428571,546,audio_64.wav,2.0
180.224,0.10067960619926453,1.6134037971496582,0.08352064341306686,0.3666666666666667," A 3ֽ 5ֽ 6ֽ 8셔., 6 WarmThuc Bul mouth of hanger ✨ What about the last last day that you see? Those days you thought I too sure And i saved my life with it The last day, and the last days Your swan I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry.","A 3 5 6 8., 6 WarmThuc Bul mouth hanger  What about the last last day that you see? Those days you thought I too sure And I saved my life with it. The last day, and the last days Your swan. I'",60,3.7333333333333334,284,audio_252.wav,2.0
60.08,0.43622300028800964,0.5284513831138611,0.04737111181020737,0.9058823529411765," there. Is it? All right. So, we're just joining to that. I'm saying that you're for initial interview. And then there are no more. I'm particularly interested in this. Yes, you can use it with the swing and the slide where you can. Very you can do activities such as. So, just. The place you can also do like playing on the playground and also. Also do activities such as. Philippine. Commonly. activities. With your classmates and with your friends. What. What's on the big.","there. Is it? All right. So, we're just joining in. I'm saying that you're for an initial interview. And then there are no more. I'm particularly interested in this. Yes, you can use it with the swing and the slide where you can. You",85,4.6,476,audio_1304.wav,2.0
60.0746875,0.43272116780281067,1.346674919128418,0.0758049488067627,0.5543478260869565," My tone is my entire world. I was right there. I was lot of lowly ending memories of it. I used to play there with my friends and cousins during my earlier. In my community, everyone could tell. My tone has many trees. I can only think of one spot. I enjoyed very well in my tone. My favorite place is my home town. In my home town, I enjoyed well. I get a lot of happiness from my home town because of my friends, family and relatives. There is more enough.","My tone is my entire world. I was right there. I had a lot of lowly ending memories of it. I used to play there with my friends and cousins earlier. In my community, everyone could tell. My tone has many trees. I can only think of one spot. I enjoyed very",92,3.989130434782609,459,audio_1230.wav,2.5
